SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
209041431,Epping - East,NA,19.1,26.4
403041079,Hackham West - Huntfield Heights,NA,19.5,26.4
505031108,Wanneroo,5.2,20.2,26.4
111011210,Mount Hutton - Windale,NA,20.4,26.4
402021031,Elizabeth East,NA,20.5,26.4
318011460,Ayr,NA,20.7,26.4
205051103,Sale,NA,20.8,26.4
127021518,Horsley Park - Kemps Creek,NA,NA,26.4
212021455,Narre Warren - North East,NA,19.5,26.5
205011078,Trafalgar (Vic.),NA,19.6,26.5
314031392,Lawnton,NA,20.4,26.5
106021117,Maitland - West,5.1,20.5,26.5
209041217,Bundoora - West,NA,21.1,26.5
216011409,Rochester,NA,21.3,26.5
407021152,Millicent,7.3,20.3,26.6
106011110,Dungog,NA,20.4,26.6
111011212,Swansea - Caves Beach,8.2,20.7,26.6
103031070,Lithgow,7.7,21.2,26.6
102021054,Toukley - Norah Head,8.2,21.4,26.6
402051054,Redwood Park,6.4,20.3,26.7
106021116,Maitland - North,NA,20.5,26.7
209041216,Bundoora - North,NA,20.6,26.7
113031269,Wagga Wagga - South,NA,20.6,26.7
102021046,Budgewoi - Buff Point - Halekulani,8.1,21.6,26.7
127031522,Casula,NA,20,26.8
402031036,Enfield - Blair Athol,5.2,20.6,26.8
310031293,Raceview,NA,20.6,26.8
407021174,Mount Gambier - West,6.7,20.9,26.8
114011276,Huskisson - Vincentia,9.7,21.4,26.8
213011335,St Albans - South,NA,20.7,26.9
107011545,Berkeley - Lake Heights - Cringila,NA,21.3,26.9
114011280,Sussex Inlet - Berrara,11.7,21.6,26.9
209041219,Lalor,NA,21.8,26.9
213011336,Sunshine,NA,20.7,27
209041225,Whittlesea,NA,21.2,27
310031288,Ipswich - North,NA,NA,27
102021050,Lake Munmorah - Mannering Park,9.4,22.4,27.1
404011092,Henley Beach,6.9,20.9,27.2
601031016,Derwent Park - Lutana,NA,21.7,27.2
210051246,Greenvale - Bulla,NA,20,27.3
125031485,Merrylands - Holroyd,NA,20.8,27.3
107031143,Warilla,7.3,21.4,27.3
604021085,Devonport,7.6,21.5,27.3
103041077,Orange,7.2,21.6,27.3
116031317,Mount Druitt - Whalan,NA,21.9,27.4
216011407,Kyabram,7.7,22,27.4
111031225,Lambton - New Lambton,6.1,20.9,27.5
106021114,Maitland,NA,21.1,27.5
